"id","name","gamesPlayed","timeOnIce","garSixty"
"cc763984-1878-4202-bc74-098c3cdd6eda","austin wagner","60","532.85","0.5"
"b16df974-83a6-45d9-8349-488be563e812","austin watson","222","2873.74","0.09"
"c7e17374-c005-435f-980c-4877a45024ee","auston matthews","223","4036.95","0.63"
"6a9b18e0-e0c9-49d0-a9fd-196c112ff9dd","barclay goodrow","129","1414.38","0.04"
"053fe49a-e40a-460e-8737-101a4fb73fa1","ben chiarot","208","3424.98","-0.09"
"a34ee5ac-c838-4a38-a155-b2e894f05b6b","ben harpur","106","1762.84","-0.18"
"b3085ebd-8f9c-40bd-bb7f-c363d054e8f9","ben hutton","198","4063.37","-0.14"
"2c7f7471-877a-48f6-92a0-16855636d73f","blake coleman","183","2796.74","0.18"
"8a595262-9b7b-4761-9535-7e24ee6d1761","blake comeau","237","3675.9","0.04"
"3744196f-9971-4986-bf46-0d568def01ed","blake wheeler","260","5292.49","0.36"
"95f6ece9-a308-488d-8dbf-ad1b88d99a31","bobby ryan","219","3505.86","0"
"67e13482-49b7-4482-b8d4-d4729fce2abc","bo horvat","223","4327.37","0.18"
"4b3aab3a-b5db-4ac8-99cb-c9ed46284de5","boone jenner","242","4027.49","0"
"4106687f-19c1-4759-ba75-cd09524206be","boo nieves","70","692.2","-0.09"
"b361e70a-66db-4711-b63b-193cc2b5e441","brad hunt","97","1510.59","0.04"
"6073ce66-15f0-430c-a665-caac2f3f715f","brad marchand","245","4832.9","0.54"
"4b2de4eb-667b-46d7-aaa7-2db1d846ef96","brad richardson","155","2370.58","0.09"
"260b67c3-31ed-4cfd-954e-ca088de7c003","brady skjei","250","4960.43","0"
"23bea467-45f5-4edc-8972-65dfc280708f","brady tkachuk","68","1085.43","0.32"
"add64b86-74d4-41ef-93e7-fc1649036b37","brandon carlo","229","4654.15","0"
"209a6b7b-f107-420f-8b1e-2b27a67c70ae","brandon davidson","101","1614.8","-0.04"
"533b76cf-f57e-476c-b5f9-8e68ad4b97f3","brandon dubinsky","211","3258.75","0"
"3d942a57-bf22-4d0c-a5aa-c23b9125cb16","brandon manning","175","3025.12","-0.04"
"f9923865-4383-4a3d-9324-a7f2fb98cc31","brandon montour","207","4310.19","-0.04"
"6126499e-b611-4436-ad57-ed612ed0f330","brandon pirri","89","1154.9","0.36"
"2335592f-161f-4995-b5e9-03e089bc5a53","brandon saad","245","4259.33","0.18"
"f3d36a97-9faf-4453-9195-10c3af8bccca","brandon sutter","167","3018","0.04"
"fa56e270-b60f-4871-a0e7-a960b60e07d6","brandon tanev","209","2672.2","0.04"
"a9136db1-e95d-48f2-9791-1b6942bb8f48","brayden mcnabb","223","4198.62","0"
"3e8100b5-e646-4a3a-bedb-40b862b92604","brayden point","245","4570.81","0.54"
